country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Type
Tajikistan,0.322,0.315,0.308,0.313,0.318,0.324,0.32899999999999996,0.33399999999999996,0.34,0.341,0.341,0.341,0.341,undeveloped
Turkmenistan,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,undeveloped
Timor-Leste,0.278,0.27899999999999997,0.281,0.282,0.28300000000000003,0.284,0.285,0.28600000000000003,0.28800000000000003,0.28800000000000003,0.28800000000000003,0.28800000000000003,0.28800000000000003,undeveloped
Tonga,0.375,0.375,0.375,0.375,0.375,0.375,0.376,0.376,0.376,0.376,0.376,0.376,0.376,undeveloped
Trinidad and Tobago,0.41,0.41100000000000003,0.41100000000000003,0.41100000000000003,0.41100000000000003,0.41100000000000003,0.41100000000000003,0.41100000000000003,0.41100000000000003,0.41100000000000003,0.41100000000000003,0.41100000000000003,0.41100000000000003,developed
Tunisia,0.37,0.366,0.36200000000000004,0.358,0.35200000000000004,0.34600000000000003,0.34,0.33399999999999996,0.32799999999999996,0.32799999999999996,0.32799999999999996,0.32799999999999996,0.32799999999999996,undeveloped
Turkey,0.384,0.39,0.39,0.38799999999999996,0.4,0.402,0.402,0.41200000000000003,0.429,0.419,0.414,0.419,0.419,developed
Tuvalu,0.391,0.39,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,undeveloped
Tanzania,0.40299999999999997,0.396,0.39,0.384,0.37799999999999995,0.382,0.387,0.391,0.396,0.4,0.405,0.405,0.405,undeveloped
Uganda,0.436,0.439,0.442,0.431,0.42,0.41,0.414,0.419,0.423,0.428,0.43,0.43,0.43,undeveloped
Ukraine,0.27,0.266,0.253,0.248,0.24600000000000002,0.247,0.24600000000000002,0.24,0.255,0.25,0.261,0.261,0.266,undeveloped
